¬í	ECG	¤ß¸õ²v
0.808	-0.226746	0
0.809	-0.205383	0
0.81	-0.184326	0
0.811	-0.163574	0
0.812	-0.143738	0
0.813	-0.124817	0
0.814	-0.106812	0
0.815	-0.0900269	0
0.816	-0.0747681	0
0.817	-0.0610352	0
0.818	-0.0491333	0
0.819	-0.0384521	0
0.82	-0.0286865	0
0.821	-0.0201416	0
0.822	-0.0125122	0
0.823	-0.00610352	0
0.824	-0.000610352	0
0.825	0.00396729	0
0.826	0.00762939	0
0.827	0.0109863	146.341
0.828	0.0137329	146.341
0.829	0.0164795	146.341
0.83	0.0189209	146.341
0.831	0.0213623	146.341
0.832	0.0241089	146.341
0.833	0.0271606	146.341
0.834	0.0302124	146.341
0.835	0.0338745	146.341
0.836	0.0372314	146.341
0.837	0.0408936	146.341
0.838	0.0445557	146.341
0.839	0.0482178	146.341
0.84	0.0518799	146.341
0.841	0.0558472	146.341
0.842	0.0595093	146.341
0.843	0.0631714	146.341
0.844	0.0668335	146.341
0.845	0.0708008	146.341
0.846	0.0744629	146.341
0.847	0.0784302	146.341
0.848	0.0827026	146.341
0.849	0.0872803	146.341
0.85	0.0921631	146.341
0.851	0.0967407	146.341
0.852	0.101318	146.341
0.853	0.105896	146.341
0.854	0.110168	146.341
0.855	0.114441	146.341
0.856	0.119019	146.341
0.857	0.123596	146.341
0.858	0.127869	146.341
0.859	0.131836	146.341
0.86	0.135498	146.341
0.861	0.138855	146.341
0.862	0.142212	146.341
0.863	0.145569	146.341
0.864	0.148315	146.341
0.865	0.151062	146.341
0.866	0.153503	146.341
0.867	0.15625	146.341
0.868	0.158997	146.341
0.869	0.162048	146.341
0.87	0.16571	146.341
0.871	0.169678	146.341
0.872	0.174255	146.341
0.873	0.179443	146.341
0.874	0.184631	146.341
0.875	0.190125	146.341
0.876	0.195923	146.341
0.877	0.201416	146.341
0.878	0.207214	146.341
0.879	0.213013	146.341
0.88	0.218506	146.341
0.881	0.223999	146.341
0.882	0.228882	146.341
0.883	0.233459	146.341
0.884	0.237732	146.341
0.885	0.241699	146.341
0.886	0.245361	146.341
0.887	0.248718	146.341
0.888	0.251465	146.341
0.889	0.253296	146.341
0.89	0.254822	146.341
0.891	0.256042	146.341
0.892	0.257263	146.341
0.893	0.258484	146.341
0.894	0.259705	146.341
0.895	0.26123	146.341
0.896	0.263062	146.341
0.897	0.264893	146.341
0.898	0.267029	146.341
0.899	0.269165	146.341
0.9	0.271912	146.341
0.901	0.274658	146.341
0.902	0.277405	146.341
0.903	0.280151	146.341
0.904	0.282898	146.341
0.905	0.285339	146.341
0.906	0.287476	146.341
0.907	0.289307	146.341
0.908	0.291443	146.341
0.909	0.293884	146.341
0.91	0.296631	146.341
0.911	0.299683	146.341
0.912	0.30304	146.341
0.913	0.306396	146.341
0.914	0.309448	146.341
0.915	0.3125	146.341
0.916	0.314941	146.341
0.917	0.317688	146.341
0.918	0.320129	146.341
0.919	0.323181	146.341
0.92	0.326233	146.341
0.921	0.32959	146.341
0.922	0.333557	146.341
0.923	0.33844	146.341
0.924	0.343323	146.341
0.925	0.348511	146.341
0.926	0.353394	146.341
0.927	0.357971	146.341
0.928	0.362549	146.341
0.929	0.366821	146.341
0.93	0.371094	146.341
0.931	0.375061	146.341
0.932	0.379028	146.341
0.933	0.382385	146.341
0.934	0.386047	146.341
0.935	0.389404	146.341
0.936	0.392456	146.341
0.937	0.395203	146.341
0.938	0.397644	146.341
0.939	0.399475	146.341
0.94	0.400696	146.341
0.941	0.401917	146.341
0.942	0.403137	146.341
0.943	0.404358	146.341
0.944	0.405884	146.341
0.945	0.40741	146.341
0.946	0.409241	146.341
0.947	0.411072	146.341
0.948	0.412598	146.341
0.949	0.414124	146.341
0.95	0.415344	146.341
0.951	0.41626	146.341
0.952	0.41748	146.341
0.953	0.418091	146.341
0.954	0.418701	146.341
0.955	0.418701	146.341
0.956	0.418396	146.341
0.957	0.41748	146.341
0.958	0.41626	146.341
0.959	0.414734	146.341
0.96	0.412903	146.341
0.961	0.410767	146.341
0.962	0.409241	146.341
0.963	0.40802	146.341
0.964	0.407715	146.341
0.965	0.407715	146.341
0.966	0.40863	146.341
0.967	0.409851	146.341
0.968	0.411377	146.341
0.969	0.413513	146.341
0.97	0.41626	146.341
0.971	0.419617	146.341
0.972	0.423279	146.341
0.973	0.427856	146.341
0.974	0.432434	146.341
0.975	0.437622	146.341
0.976	0.442505	146.341
0.977	0.447083	146.341
0.978	0.45166	146.341
0.979	0.455627	146.341
0.98	0.458984	146.341
0.981	0.461731	146.341
0.982	0.463867	146.341
0.983	0.465088	146.341
0.984	0.466003	146.341
0.985	0.466309	146.341
0.986	0.466614	146.341
0.987	0.466309	146.341
0.988	0.465698	146.341
0.989	0.464783	146.341
0.99	0.463257	146.341
0.991	0.461731	146.341
0.992	0.4599	146.341
0.993	0.457764	146.341
0.994	0.455322	146.341
0.995	0.452576	146.341
0.996	0.449829	146.341
0.997	0.446472	146.341
0.998	0.44281	146.341
0.999	0.438843	146.341
1	0.434265	146.341
1.001	0.429382	146.341
1.002	0.423889	146.341
1.003	0.418396	146.341
1.004	0.412598	146.341
1.005	0.406799	146.341
1.006	0.400391	146.341
1.007	0.393982	146.341
1.008	0.386963	146.341
